player,position,age,team,points_per_game,rebounds_per_game,assists_per_game
Ricky Council IV,SF,23,Philadelphia 76ers,7.3,2.9,1.3
Guerschon Yabusele,C,29,Philadelphia 76ers,11.0,5.6,2.1
Kelly Oubre Jr.,SF,29,Philadelphia 76ers,15.1,6.1,1.8
Adem Bona,C,22,Philadelphia 76ers,5.8,4.2,0.5
Tyrese Maxey,PG,24,Philadelphia 76ers,26.3,3.3,6.1
Justin Edwards,SF,21,Philadelphia 76ers,10.1,3.4,1.6
Paul George,PF,35,Philadelphia 76ers,16.2,5.3,4.3
Jeff Dowtin  (TW),PG,28,Philadelphia 76ers,7.0,1.5,1.9
Andre Drummond,C,31,Philadelphia 76ers,7.3,7.8,0.9
Eric Gordon,SG,36,Philadelphia 76ers,6.8,1.2,1.7
Kyle Lowry,PG,39,Philadelphia 76ers,3.9,1.9,2.7
Quentin Grimes,SG,25,Philadelphia 76ers,14.6,4.3,3.0
Jared Butler,SG,24,Philadelphia 76ers,9.0,1.8,3.7
Jared McCain,SG,21,Philadelphia 76ers,15.3,2.4,2.6
Lonnie Walker IV,SG,26,Philadelphia 76ers,12.4,3.2,2.5
Joel Embiid,C,31,Philadelphia 76ers,23.8,8.2,4.5
Alex Reese  (TW),PF,25,Philadelphia 76ers,5.1,3.1,0.3
Jalen Hood-Schifino  (TW),SG,21,Philadelphia 76ers,7.1,1.8,2.5
Isaiah Mobley,PF,25,Philadelphia 76ers,6.0,4.0,5.0
Payton Pritchard,PG,27,Boston Celtics,14.3,3.8,3.5
Derrick White,SG,30,Boston Celtics,16.4,4.5,4.8
Luke Kornet,C,29,Boston Celtics,6.0,5.3,1.6
Jayson Tatum,PF,27,Boston Celtics,26.8,8.7,6.0
Sam Hauser,PF,27,Boston Celtics,8.5,3.2,0.9
Jaylen Brown,SF,28,Boston Celtics,22.2,5.8,4.5
Jrue Holiday,PG,34,Boston Celtics,11.1,4.3,3.9
Neemias Queta,C,25,Boston Celtics,5.0,3.8,0.7
Al Horford,C,38,Boston Celtics,9.0,6.2,2.1
Jordan Walsh,PF,21,Boston Celtics,1.6,1.3,0.4
Kristaps PorziÅÄ£is,C,29,Boston Celtics,19.5,6.8,2.1
Xavier Tillman Sr.,C,26,Boston Celtics,1.0,1.3,0.2
Baylor Scheierman,SG,24,Boston Celtics,3.6,2.1,1.1
Drew Peterson  (TW),PF,25,Boston Celtics,2.2,1.6,0.5
Torrey Craig,SF,34,Boston Celtics,4.2,2.8,0.7
JD Davison,PG,22,Boston Celtics,2.1,0.8,0.8
Miles Norris  (TW),PF,25,Boston Celtics,2.3,3.0,0.0
Bam Adebayo,C,27,Miami Heat,18.1,9.6,4.3
Tyler Herro,SG,25,Miami Heat,23.9,5.2,5.5
Duncan Robinson,SF,31,Miami Heat,11.0,2.3,2.4
Haywood Highsmith,SF,28,Miami Heat,6.5,3.4,1.5
Jaime Jaquez Jr.,SF,24,Miami Heat,8.6,4.4,2.5
Terry Rozier,PG,31,Miami Heat,10.6,3.7,2.6
Kel'el Ware,C,21,Miami Heat,9.3,7.4,0.9
Pelle Larsson,SG,24,Miami Heat,4.6,1.7,1.2
Alec Burks,SG,33,Miami Heat,7.3,2.5,1.1
Nikola JoviÄ,PF,21,Miami Heat,10.7,3.9,2.8
Davion Mitchell,PG,26,Miami Heat,7.9,2.3,4.9
Kyle Anderson,SF,31,Miami Heat,5.9,3.4,2.4
Kevin Love,PF,36,Miami Heat,5.3,4.1,1.0
Andrew Wiggins,SF,30,Miami Heat,18.0,4.5,2.6
Keshad Johnson,SF,23,Miami Heat,2.7,1.8,0.3
Dru Smith  (TW),SG,27,Miami Heat,6.2,2.6,1.6
Josh Christopher  (TW),SG,23,Miami Heat,2.0,0.6,0.6
Isaiah Stevens  (TW),PG,24,Miami Heat,0.0,0.7,0.0
Brook Lopez,C,37,Milwaukee Bucks,13.0,5.0,1.8
Taurean Prince,SF,31,Milwaukee Bucks,8.2,3.6,1.9
Gary Trent Jr.,SG,26,Milwaukee Bucks,11.1,2.3,1.2
A.J. Green,SG,25,Milwaukee Bucks,7.4,2.4,1.5
Giannis Antetokounmpo,PF,30,Milwaukee Bucks,30.4,11.9,6.5
Andre Jackson Jr.,SG,23,Milwaukee Bucks,3.4,2.7,1.2
Damian Lillard,PG,34,Milwaukee Bucks,24.9,4.7,7.1
Ryan Rollins,PG,22,Milwaukee Bucks,6.2,1.9,1.9
Bobby Portis,PF,30,Milwaukee Bucks,13.9,8.4,2.1
Pat Connaughton,SG,32,Milwaukee Bucks,5.3,2.7,1.7
Kyle Kuzma,PF,29,Milwaukee Bucks,14.8,5.7,2.3
Kevin Porter Jr.,SG,25,Milwaukee Bucks,10.3,3.7,3.4
Tyler Smith,PF,20,Milwaukee Bucks,2.9,1.1,0.2
Stanley Umude  (TW),SG,26,Milwaukee Bucks,0.7,0.8,0.2
Chris Livingston,SF,21,Milwaukee Bucks,1.4,1.7,0.2
Jericho Sims,C,26,Milwaukee Bucks,1.8,3.7,0.6
Pete Nance  (TW),PF,25,Milwaukee Bucks,2.9,1.6,0.8
Jamaree Bouyea  (TW),PG,25,Milwaukee Bucks,3.4,1.0,2.0
Mikal Bridges,SF,28,New York Knicks,17.6,3.2,3.7
Josh Hart,SG,30,New York Knicks,13.6,9.6,5.9
OG Anunoby,PF,27,New York Knicks,18.0,4.8,2.2
Karl-Anthony Towns,C,29,New York Knicks,24.4,12.8,3.1
Cameron Payne,PG,30,New York Knicks,6.9,1.4,2.8
Jalen Brunson,PG,28,New York Knicks,26.0,2.9,7.3
